,country,country_code,highest_ten_income_share
0,Aruba,ABW,
1,Afghanistan,AFG,
2,Angola,AGO,
3,Albania,ALB,
4,Andorra,AND,
5,Arab World,ARB,
6,United Arab Emirates,ARE,
7,Argentina,ARG,
8,Armenia,ARM,26.7
9,American Samoa,ASM,
10,Antigua and Barbuda,ATG,
11,Australia,AUS,
12,Austria,AUT,23.8
13,Azerbaijan,AZE,
14,Burundi,BDI,
15,Belgium,BEL,22.2
16,Benin,BEN,37.6
17,Burkina Faso,BFA,
18,Bangladesh,BGD,
19,Bulgaria,BGR,
20,Bahrain,BHR,
21,"Bahamas, The",BHS,
22,Bosnia and Herzegovina,BIH,25.1
23,Belarus,BLR,22.2
24,Belize,BLZ,
25,Bermuda,BMU,
26,Bolivia,BOL,34.8
27,Brazil,BRA,40.4
28,Barbados,BRB,
29,Brunei Darussalam,BRN,
30,Bhutan,BTN,
31,Botswana,BWA,
32,Central African Republic,CAF,
33,Canada,CAN,
34,Central Europe and the Baltics,CEB,
35,Switzerland,CHE,25.2
36,Channel Islands,CHI,
37,Chile,CHL,38.0
38,China,CHN,
39,Cote d'Ivoire,CIV,31.9
40,Cameroon,CMR,
41,"Congo, Dem. Rep.",COD,
42,"Congo, Rep.",COG,
43,Colombia,COL,40.0
44,Comoros,COM,
45,Cabo Verde,CPV,
46,Costa Rica,CRI,36.8
47,Caribbean small states,CSS,
48,Cuba,CUB,
49,Curacao,CUW,
50,Cayman Islands,CYM,
51,Cyprus,CYP,27.4
52,Czech Republic,CZE,22.1
53,Germany,DEU,24.8
54,Djibouti,DJI,
55,Dominica,DMA,
56,Denmark,DNK,23.8
57,Dominican Republic,DOM,34.5
58,Algeria,DZA,
59,East Asia & Pacific (excluding high income),EAP,
60,Early-demographic dividend,EAR,
61,East Asia & Pacific,EAS,
62,Europe & Central Asia (excluding high income),ECA,
63,Europe & Central Asia,ECS,
64,Ecuador,ECU,34.9
65,"Egypt, Arab Rep.",EGY,27.8
66,Euro area,EMU,
67,Eritrea,ERI,
68,Spain,ESP,26.2
69,Estonia,EST,24.4
70,Ethiopia,ETH,31.4
71,European Union,EUU,
72,Fragile and conflict affected situations,FCS,
73,Finland,FIN,22.4
74,Fiji,FJI,
75,France,FRA,26.6
76,Faroe Islands,FRO,
77,"Micronesia, Fed. Sts.",FSM,
78,Gabon,GAB,
79,United Kingdom,GBR,25.4
80,Georgia,GEO,27.8
81,Ghana,GHA,
82,Gibraltar,GIB,
83,Guinea,GIN,
84,"Gambia, The",GMB,28.7
85,Guinea-Bissau,GNB,
86,Equatorial Guinea,GNQ,
87,Greece,GRC,26.2
88,Grenada,GRD,
89,Greenland,GRL,
90,Guatemala,GTM,
91,Guam,GUM,
92,Guyana,GUY,
93,High income,HIC,
94,"Hong Kong SAR, China",HKG,
95,Honduras,HND,37.0
96,Heavily indebted poor countries (HIPC),HPC,
97,Croatia,HRV,23.2
98,Haiti,HTI,
99,Hungary,HUN,23.8
100,IBRD only,IBD,
101,IDA & IBRD total,IBT,
102,IDA total,IDA,
103,IDA blend,IDB,
104,Indonesia,IDN,0.0
105,IDA only,IDX,
106,Isle of Man,IMN,
107,India,IND,
108,Not classified,INX,
109,Ireland,IRL,25.4
110,"Iran, Islamic Rep.",IRN,
111,Iraq,IRQ,
112,Iceland,ISL,
113,Israel,ISR,
114,Italy,ITA,25.7
115,Jamaica,JAM,
116,Jordan,JOR,
117,Japan,JPN,
118,Kazakhstan,KAZ,22.6
119,Kenya,KEN,31.6
120,Kyrgyz Republic,KGZ,24.8
121,Cambodia,KHM,
122,Kiribati,KIR,
123,St. Kitts and Nevis,KNA,
124,"Korea, Rep.",KOR,
125,Kuwait,KWT,
126,Latin America & Caribbean (excluding high income),LAC,
127,Lao PDR,LAO,
128,Lebanon,LBN,
129,Liberia,LBR,
130,Libya,LBY,
131,St. Lucia,LCA,
132,Latin America & Caribbean,LCN,
133,Least developed countries: UN classification,LDC,
134,Low income,LIC,
135,Liechtenstein,LIE,
136,Sri Lanka,LKA,
137,Lower middle income,LMC,
138,Low & middle income,LMY,
139,Lesotho,LSO,
140,Late-demographic dividend,LTE,
141,Lithuania,LTU,28.6
142,Luxembourg,LUX,25.4
143,Latvia,LVA,26.1
144,"Macao SAR, China",MAC,
145,St. Martin (French part),MAF,
146,Morocco,MAR,
147,Monaco,MCO,
148,Moldova,MDA,22.5
149,Madagascar,MDG,
150,Maldives,MDV,
151,Middle East & North Africa,MEA,
152,Mexico,MEX,
153,Marshall Islands,MHL,
154,Middle income,MIC,
155,"Macedonia, FYR",MKD,
156,Mali,MLI,
157,Malta,MLT,23.6
158,Myanmar,MMR,31.7
159,Middle East & North Africa (excluding high income),MNA,
160,Montenegro,MNE,
161,Mongolia,MNG,
162,Northern Mariana Islands,MNP,
163,Mozambique,MOZ,
164,Mauritania,MRT,
165,Mauritius,MUS,
166,Malawi,MWI,
167,Malaysia,MYS,31.3
168,North America,NAC,
169,Namibia,NAM,47.3
170,New Caledonia,NCL,
171,Niger,NER,
172,Nigeria,NGA,
173,Nicaragua,NIC,
174,Netherlands,NLD,23.0
175,Norway,NOR,22.3
176,Nepal,NPL,
177,Nauru,NRU,
178,New Zealand,NZL,
179,OECD members,OED,
180,Oman,OMN,
181,Other small states,OSS,
182,Pakistan,PAK,28.9
183,Panama,PAN,39.0
184,Peru,PER,32.8
185,Philippines,PHL,
186,Palau,PLW,
187,Papua New Guinea,PNG,
188,Poland,POL,
189,Pre-demographic dividend,PRE,
190,Puerto Rico,PRI,
191,"Korea, Dem. Peopleâ€™s Rep.",PRK,
192,Portugal,PRT,27.3
193,Paraguay,PRY,36.7
194,West Bank and Gaza,PSE,
195,Pacific island small states,PSS,
196,Post-demographic dividend,PST,
197,French Polynesia,PYF,
198,Qatar,QAT,
199,Romania,ROU,24.7
200,Russian Federation,RUS,29.7
201,Rwanda,RWA,
202,South Asia,SAS,
203,Saudi Arabia,SAU,
204,Sudan,SDN,
205,Senegal,SEN,
206,Singapore,SGP,
207,Solomon Islands,SLB,
208,Sierra Leone,SLE,
209,El Salvador,SLV,31.8
210,San Marino,SMR,
211,Somalia,SOM,
212,Serbia,SRB,
213,Sub-Saharan Africa (excluding high income),SSA,
214,South Sudan,SSD,
215,Sub-Saharan Africa,SSF,
216,Small states,SST,
217,Sao Tome and Principe,STP,
218,Suriname,SUR,
219,Slovak Republic,SVK,20.9
220,Slovenia,SVN,21.0
221,Sweden,SWE,22.9
222,Eswatini,SWZ,
223,Sint Maarten (Dutch part),SXM,
224,Seychelles,SYC,
225,Syrian Arab Republic,SYR,
226,Turks and Caicos Islands,TCA,
227,Chad,TCD,
228,East Asia & Pacific (IDA & IBRD countries),TEA,
229,Europe & Central Asia (IDA & IBRD countries),TEC,
230,Togo,TGO,31.6
231,Thailand,THA,28.4
232,Tajikistan,TJK,26.4
233,Turkmenistan,TKM,
234,Latin America & the Caribbean (IDA & IBRD countries),TLA,
235,Timor-Leste,TLS,
236,Middle East & North Africa (IDA & IBRD countries),TMN,
237,Tonga,TON,
238,South Asia (IDA & IBRD),TSA,
239,Sub-Saharan Africa (IDA & IBRD countries),TSS,
240,Trinidad and Tobago,TTO,
241,Tunisia,TUN,
242,Turkey,TUR,33.5
243,Tuvalu,TUV,
244,Tanzania,TZA,
245,Uganda,UGA,
246,Ukraine,UKR,21.6
247,Upper middle income,UMC,
248,Uruguay,URY,29.9
249,United States,USA,
250,Uzbekistan,UZB,
251,St. Vincent and the Grenadines,VCT,
252,"Venezuela, RB",VEN,
253,British Virgin Islands,VGB,
254,Virgin Islands (U.S.),VIR,
255,Vietnam,VNM,
256,Vanuatu,VUT,
257,World,WLD,
258,Samoa,WSM,
259,Kosovo,XKX,21.5
260,"Yemen, Rep.",YEM,
261,South Africa,ZAF,
262,Zambia,ZMB,44.4
263,Zimbabwe,ZWE,
