,country,country_code,net_fdi_resid
0,Aruba,ABW,182224594.45502093
1,Afghanistan,AFG,387398179.46870214
2,Angola,AGO,-7540983293.852885
3,Albania,ALB,-78618846.00367343
4,Argentina,ARG,-9979094463.273077
5,Armenia,ARM,580243657.3526659
6,Antigua and Barbuda,ATG,762756347.4229691
7,Australia,AUS,-38240826024.632744
8,Austria,AUT,5860254999.917483
9,Azerbaijan,AZE,153586695.07307065
10,Burundi,BDI,476793831.1956006
11,Belgium,BEL,16323096645.082045
12,Benin,BEN,446151169.5266299
13,Burkina Faso,BFA,334379973.0277775
14,Bangladesh,BGD,-2176370227.752631
15,Bulgaria,BGR,-1527810756.5122194
16,Bahrain,BHR,-3140274705.543663
17,"Bahamas, The",BHS,284037489.6690697
18,Bosnia and Herzegovina,BIH,542342676.4058802
19,Belarus,BLR,-571393250.3642236
20,Belize,BLZ,677497540.5697033
21,Bolivia,BOL,134481930.9310336
22,Brazil,BRA,-60149149068.63771
23,Brunei Darussalam,BRN,-281996509.5059303
24,Bhutan,BTN,721469934.4562933
25,Botswana,BWA,556597149.5468078
26,Canada,CAN,22583119357.847652
27,Switzerland,CHE,12302525127.194643
28,Chile,CHL,-4248719802.923426
29,China,CHN,-67087329633.71034
30,Cote d'Ivoire,CIV,118060621.44231385
31,Cameroon,CMR,-39094961.495125055
32,"Congo, Dem. Rep.",COD,-736164026.1195401
33,"Congo, Rep.",COG,-3066999047.8760395
34,Colombia,COL,-6539623545.509303
35,Cabo Verde,CPV,560705333.9247677
36,Costa Rica,CRI,-1490860526.706972
37,Cyprus,CYP,9583195331.52173
38,Czech Republic,CZE,2272845502.8165984
39,Germany,DEU,74835291979.57709
40,Dominica,DMA,769277572.069159
41,Denmark,DNK,5414463945.800232
42,Dominican Republic,DOM,-1205893292.0635629
43,Algeria,DZA,1660165685.712569
44,Ecuador,ECU,-501707721.73933804
45,"Egypt, Arab Rep.",EGY,-5948015431.83473
46,Spain,ESP,28468010303.137196
47,Estonia,EST,576901163.235291
48,Ethiopia,ETH,-2076321393.8703947
49,Finland,FIN,-18066139657.150444
50,Fiji,FJI,408584400.1746091
51,France,FRA,8487311884.904434
52,United Kingdom,GBR,-105451545659.58286
53,Georgia,GEO,-576487396.0984373
54,Ghana,GHA,-2357086925.4240327
55,Guinea,GIN,508379151.10332197
56,"Gambia, The",GMB,551696899.9273317
57,Guinea-Bissau,GNB,531477230.89690834
58,Greece,GRC,870257634.529967
59,Grenada,GRD,819617926.5606765
60,Guatemala,GTM,-390041539.5214206
61,Guyana,GUY,569672677.4099452
62,"Hong Kong SAR, China",HKG,-102453073540.11096
63,Honduras,HND,-324118598.22946143
64,Croatia,HRV,589641239.8542651
65,Haiti,HTI,447902497.2901336
66,Hungary,HUN,-2138759999.9677312
67,Indonesia,IDN,-9903501756.13931
68,India,IND,-35827133906.96344
69,Ireland,IRL,-45107129424.85101
70,Iraq,IRQ,-2118152451.669087
71,Iceland,ISL,-702013194.8403003
72,Israel,ISR,-173600887.211669
73,Italy,ITA,2974278534.7914314
74,Jamaica,JAM,-151931892.840536
75,Jordan,JOR,-848482834.1222168
76,Japan,JPN,133243392518.8549
77,Kazakhstan,KAZ,-2414399450.9717536
78,Kenya,KEN,209002630.45631838
79,Kyrgyz Republic,KGZ,-411335797.3280482
80,Cambodia,KHM,-1135823950.301322
81,Kiribati,KIR,561275089.1767074
82,St. Kitts and Nevis,KNA,390470358.49182504
83,"Korea, Rep.",KOR,19864697113.06682
84,Kuwait,KWT,5336985609.050493
85,Lao PDR,LAO,-370026931.5626515
86,Lebanon,LBN,-508408469.17567635
87,Liberia,LBR,308427466.30437434
88,Libya,LBY,1448156142.3734882
89,St. Lucia,LCA,812427948.5506226
90,Sri Lanka,LKA,212891017.6878202
91,Lesotho,LSO,470175144.6936693
92,Lithuania,LTU,-364447141.3053997
93,Luxembourg,LUX,89171061478.76845
94,Latvia,LVA,-26108288.55275321
95,"Macao SAR, China",MAC,-1557878719.4243898
96,Morocco,MAR,-1882232438.9384227
97,Moldova,MDA,430503452.49310625
98,Madagascar,MDG,299571773.4002484
99,Maldives,MDV,727107590.5408989
100,Mexico,MEX,-23454005530.483673
101,Marshall Islands,MHL,614864653.2266914
102,"Macedonia, FYR",MKD,740437904.9401443
103,Malta,MLT,-9682920863.540703
104,Myanmar,MMR,-3435781881.2204127
105,Montenegro,MNE,358338497.2711147
106,Mongolia,MNG,774801109.6700612
107,Mozambique,MOZ,-3328644653.9994655
108,Mauritania,MRT,105997745.15044653
109,Mauritius,MUS,-3590191757.058285
110,Malawi,MWI,16127217.219457269
111,Malaysia,MYS,1245264620.572113
112,Namibia,NAM,-332923136.43324053
113,Niger,NER,36893530.51628947
114,Nigeria,NGA,-998721901.9115103
115,Nicaragua,NIC,-259660804.37847388
116,Netherlands,NLD,71911896503.48695
117,Norway,NOR,15809057387.254175
118,Nepal,NPL,520396107.90861493
119,New Zealand,NZL,207306605.69757414
120,Oman,OMN,2543698617.729086
121,Pakistan,PAK,-958084160.594715
122,Panama,PAN,-3159333384.407407
123,Peru,PER,-7260310523.776576
124,Philippines,PHL,601581599.1062804
125,Palau,PLW,1007966093.986671
126,Papua New Guinea,PNG,410257120.12230325
127,Poland,POL,-9587305251.68073
128,Portugal,PRT,-931880673.9606489
129,Paraguay,PRY,535287992.6187872
130,West Bank and Gaza,PSE,608745121.3857704
131,Qatar,QAT,1488010249.045341
132,Romania,ROU,-2446004874.5630918
133,Russian Federation,RUS,15900513170.377846
134,Rwanda,RWA,336083572.53936446
135,Saudi Arabia,SAU,-2693999534.746877
136,Sudan,SDN,-1101716257.5800061
137,Singapore,SGP,-39885949154.64741
138,Solomon Islands,SLB,540167896.4266067
139,Sierra Leone,SLE,291451818.879205
140,El Salvador,SLV,309278823.7590448
141,Serbia,SRB,-1018853669.6588724
142,South Sudan,SSD,558780019.3711408
143,Sao Tome and Principe,STP,564534075.795277
144,Suriname,SUR,783790986.2728531
145,Slovak Republic,SVK,292255694.8352981
146,Slovenia,SVN,-1099034375.5555625
147,Sweden,SWE,7547529999.447805
148,Eswatini,SWZ,695563241.2839521
149,Sint Maarten (Dutch part),SXM,186037990.57662565
150,Seychelles,SYC,379224325.8633294
151,Togo,TGO,638528277.1342168
152,Thailand,THA,-2888155029.739463
153,Tajikistan,TJK,155201724.29189146
154,Timor-Leste,TLS,686876446.1952093
155,Tonga,TON,640356110.3522955
156,Trinidad and Tobago,TTO,195758298.94361305
157,Tunisia,TUN,-148718991.029894
158,Turkey,TUR,-12244338793.306051
159,Tanzania,TZA,-1027376014.2477751
160,Uganda,UGA,-183361417.47586536
161,Ukraine,UKR,-2292758160.492258
162,Uruguay,URY,43309696.80960357
163,United States,USA,-201955945269.8971
164,St. Vincent and the Grenadines,VCT,754994160.2022468
165,Vietnam,VNM,-10037748183.624311
166,Vanuatu,VUT,556428069.4919722
167,Samoa,WSM,639229730.72599
168,Kosovo,XKX,468678960.8819678
169,"Yemen, Rep.",YEM,608348018.7064846
170,South Africa,ZAF,4919573046.098538
171,Zambia,ZMB,-1115820699.9969735
172,Zimbabwe,ZWE,169811699.3709333
173,Andorra,AND,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,United Arab Emirates,ARE,
218,American Samoa,ASM,
219,Bermuda,BMU,
220,Barbados,BRB,
221,Central African Republic,CAF,
222,Channel Islands,CHI,
223,Comoros,COM,
224,Cuba,CUB,
225,Curacao,CUW,
226,Cayman Islands,CYM,
227,Djibouti,DJI,
228,East Asia & Pacific,EAS,
229,Eritrea,ERI,
230,Faroe Islands,FRO,
231,"Micronesia, Fed. Sts.",FSM,
232,Gabon,GAB,
233,Gibraltar,GIB,
234,Equatorial Guinea,GNQ,
235,Greenland,GRL,
236,Guam,GUM,
237,Isle of Man,IMN,
238,"Iran, Islamic Rep.",IRN,
239,Liechtenstein,LIE,
240,St. Martin (French part),MAF,
241,Monaco,MCO,
242,Mali,MLI,
243,Northern Mariana Islands,MNP,
244,New Caledonia,NCL,
245,Nauru,NRU,
246,Puerto Rico,PRI,
247,"Korea, Dem. Peopleâ€™s Rep.",PRK,
248,Pacific island small states,PSS,
249,French Polynesia,PYF,
250,South Asia,SAS,
251,Senegal,SEN,
252,San Marino,SMR,
253,Somalia,SOM,
254,Sub-Saharan Africa,SSF,
255,Syrian Arab Republic,SYR,
256,Turks and Caicos Islands,TCA,
257,Chad,TCD,
258,Turkmenistan,TKM,
259,Tuvalu,TUV,
260,Uzbekistan,UZB,
261,"Venezuela, RB",VEN,
262,British Virgin Islands,VGB,
263,Virgin Islands (U.S.),VIR,
