,Unnamed: 0,refugees,country_code,country,refugees_resid
0,0,257554.0,AFG,Afghanistan,246127.6615357426
1,1,104.0,ALB,Albania,-4413.758548769835
2,2,94182.0,DZA,Algeria,89791.1392596429
3,3,15555.0,AGO,Angola,8463.593786903013
4,5,15.0,ATG,Antigua and Barbuda,-5269.257371506341
5,6,3207.0,ARG,Argentina,-1991.1083375202325
6,7,19319.0,ARM,Armenia,13397.81049337366
7,8,2.0,ABW,Aruba,-13263.231400104109
8,9,36917.0,AUS,Australia,20643.680686790496
9,10,72216.0,AUT,Austria,55968.95923646331
10,11,1278.0,AZE,Azerbaijan,-3821.311525363464
11,12,8.0,BHS,"Bahamas, The",-8291.360241633956
12,13,247.0,BHR,Bahrain,-16058.608408632083
13,14,231958.0,BGD,Bangladesh,221819.22377534915
14,15,1809.0,BLR,Belarus,-3338.2968364983944
15,16,35314.0,BEL,Belgium,19101.801876538982
16,17,35.0,BLZ,Belize,-6018.243002087419
17,18,530.0,BEN,Benin,-10712.796167637043
18,19,775.0,BOL,Bolivia,-6411.288995304341
19,20,6798.0,BIH,Bosnia and Herzegovina,2279.9711594829714
20,22,8707.0,BRA,Brazil,4128.410263554771
21,23,0.0,BRN,Brunei Darussalam,-10476.223231558846
22,24,16557.0,BGR,Bulgaria,11418.885998520656
23,25,34017.0,BFA,Burkina Faso,22384.95630283498
24,26,53363.0,BDI,Burundi,40826.5631437447
25,27,0.0,CPV,Cabo Verde,-7686.065949858313
26,28,76.0,KHM,Cambodia,-9914.378868529395
27,29,342973.0,CMR,Cameroon,332980.8583975279
28,30,135888.0,CAN,Canada,119765.10344671384
29,31,12.0,CYM,Cayman Islands,-15864.701176292223
30,32,7330.0,CAF,Central African Republic,-5301.764191179109
31,33,369540.0,TCD,Chad,358376.0461435076
32,34,1849.0,CHL,Chile,-3611.972405383861
33,35,301052.0,CHN,China,296663.55080310703
34,36,133.0,HKG,"Hong Kong SAR, China",-15518.794777683575
35,37,0.0,MAC,"Macao SAR, China",-4598.795452880451
36,38,226.0,COL,Colombia,-4193.762310912418
37,39,44955.0,COG,"Congo, Rep.",36959.466493045526
38,40,3616.0,CRI,Costa Rica,-974.6894689576366
39,41,522.0,HRV,Croatia,-4967.514466216963
40,42,1980.0,CIV,Cote d'Ivoire,-8056.496492035301
41,43,303.0,CUB,Cuba,
42,45,7067.0,CYP,Cyprus,-2179.217960290731
43,46,3644.0,CZE,Czech Republic,-6912.641876358033
44,47,0.0,PRK,"Korea, Dem. Peopleâ€™s Rep.",
45,48,383095.0,COD,"Congo, Dem. Rep.",370662.229815215
46,49,27326.0,DNK,Denmark,11012.285333678976
47,50,19365.0,DJI,Djibouti,
48,51,615.0,DOM,Dominican Republic,-3778.760247693881
49,52,121535.0,ECU,Ecuador,117008.28523514031
50,53,212500.0,EGY,"Egypt, Arab Rep.",207795.16040207457
51,54,48.0,SLV,El Salvador,-6754.073490501569
52,55,2549.0,ERI,Eritrea,
53,56,168.0,EST,Estonia,-7008.389971343978
54,57,736086.0,ETH,Ethiopia,724390.3664254396
55,58,12.0,FJI,Fiji,-5709.212254627197
56,59,12703.0,FIN,Finland,-2766.003287589938
57,60,273126.0,FRA,France,258316.3240222234
58,61,943.0,GAB,Gabon,-4173.146301136963
59,62,7854.0,GMB,"Gambia, The",-3811.965752742204
60,63,1979.0,GEO,Georgia,-3368.667307806044
61,64,316115.0,DEU,Germany,299785.40381235717
62,65,17406.0,GHA,Ghana,7906.80600285358
63,66,24838.0,GRC,Greece,18672.054423374328
64,67,1.0,GRD,Grenada,-4424.995821575297
65,68,226.0,GTM,Guatemala,-6365.637192252173
66,69,8839.0,GIN,Guinea,-2630.918693643138
67,70,8684.0,GNB,Guinea-Bissau,-3099.029971336815
68,71,11.0,GUY,Guyana,-6746.615387585778
69,72,3.0,HTI,Haiti,-11573.974803375091
70,73,30.0,HND,Honduras,-9022.839501209513
71,74,4393.0,HUN,Hungary,-1607.1073988021963
72,75,179.0,ISL,Iceland,-16148.29667618779
73,76,201381.0,IND,India,193563.8932781277
74,77,5957.0,IDN,Indonesia,1378.8434212210032
75,78,979437.0,IRN,"Iran, Islamic Rep.",974365.1993567459
76,79,277701.0,IRQ,Iraq,273110.2275576895
77,80,6125.0,IRL,Ireland,-6924.109595183803
78,81,32946.0,ISR,Israel,21077.755283849954
79,82,118047.0,ITA,Italy,105729.70658840735
80,83,12.0,JAM,Jamaica,-5977.953191548534
81,84,2474.0,JPN,Japan,-12415.012488185104
82,85,664118.0,JOR,Jordan,658406.1812306728
83,86,708.0,KAZ,Kazakhstan,-5066.583532545233
84,87,553912.0,KEN,Kenya,543492.4722410096
85,88,741.0,KWT,Kuwait,-11271.888322417713
86,89,354.0,KGZ,Kyrgyz Republic,-9686.24818322605
87,90,208.0,LVA,Latvia,-5516.6644246019505
88,91,1070854.0,LBN,Lebanon,1066453.7910245573
89,92,31.0,LSO,Lesotho,-10504.253596561795
90,93,36505.0,LBR,Liberia,24490.3386398082
91,94,9305.0,LBY,Libya,4676.942350741657
92,95,150.0,LIE,Liechtenstein,
93,96,1093.0,LTU,Lithuania,-6243.464309677816
94,97,1332.0,LUX,Luxembourg,-4247.137837108198
95,98,10.0,MDG,Madagascar,-11843.208295204868
96,99,9019.0,MWI,Malawi,-3128.4883615993585
97,100,94166.0,MYS,Malaysia,88018.88793320797
98,101,15917.0,MLI,Mali,4607.027626407196
99,102,7075.0,MLT,Malta,-4667.9819025337965
100,103,77394.0,MRT,Mauritania,67691.62977946486
101,104,2923.0,MEX,Mexico,-2097.865047007961
102,105,3.0,FSM,"Micronesia, Fed. Sts.",-10005.766382102836
103,106,32.0,MCO,Monaco,
104,107,9.0,MNG,Mongolia,-4473.836809256187
105,108,1771.0,MNE,Montenegro,-3021.566002410288
106,109,3908.0,MAR,Morocco,-2680.409412546802
107,110,5622.0,MOZ,Mozambique,-6495.205239582416
108,111,0.0,MMR,Myanmar,-8408.224994269956
109,112,1737.0,NAM,Namibia,-3032.317739435156
110,113,506.0,NRU,Nauru,-3936.379375263702
111,114,32667.0,NPL,Nepal,21745.070550013614
112,115,88536.0,NLD,Netherlands,72265.13858221921
113,116,1337.0,NZL,New Zealand,-11742.878802475567
114,117,330.0,NIC,Nicaragua,-8164.281162397481
115,118,124721.0,NER,Niger,112387.49328733757
116,119,1395.0,NGA,Nigeria,-6482.099025697572
117,120,50389.0,NOR,Norway,35678.48972505228
118,121,245.0,OMN,Oman,-15354.800320841818
119,122,1561162.0,PAK,Pakistan,1552440.8547207841
120,123,17322.0,PAN,Panama,11940.569106182571
121,124,9510.0,PNG,Papua New Guinea,11.895057996214746
122,125,172.0,PRY,Paraguay,-4327.75815929768
123,126,1488.0,PER,Peru,-2987.4638812942576
124,127,269.0,PHL,Philippines,-6646.144118492124
125,128,14065.0,POL,Poland,7938.048782577154
126,129,853.0,PRT,Portugal,-6846.486385001981
127,130,120.0,QAT,Qatar,311.6489128771211
128,131,1463.0,KOR,"Korea, Rep.",-10025.88466535157
129,132,446.0,MDA,Moldova,-8230.559320098906
130,133,2598.0,ROU,Romania,-2717.3419037895646
131,134,314507.0,RUS,Russian Federation,308780.27562859375
132,135,144737.0,RWA,Rwanda,133243.54569475635
133,136,1.0,LCA,St. Lucia,-4469.893771345471
134,137,0.0,WSM,Samoa,-7981.400262936891
135,138,125.0,SAU,Saudi Arabia,-15771.927132300454
136,139,14392.0,SEN,Senegal,4054.279528362873
137,140,35332.0,SRB,Serbia,30923.853725805533
138,141,760.0,SLE,Sierra Leone,-11157.060831218323
139,142,0.0,SGP,Singapore,-8844.374306288188
140,144,820.0,SVK,Slovak Republic,-6871.02408132211
141,145,292.0,SVN,Slovenia,-8910.240036321777
142,146,3.0,SLB,Solomon Islands,-11080.260275832865
143,147,8081.0,SOM,Somalia,
144,148,121645.0,ZAF,South Africa,117205.82355946612
145,149,263016.0,SSD,South Sudan,251662.55166998433
146,150,6457.0,ESP,Spain,-4827.21814031865
147,151,784.0,LKA,Sri Lanka,-3723.798650733056
148,152,309639.0,SDN,Sudan,300560.260827861
149,153,1.0,SUR,Suriname,-4567.490510006165
150,154,696.0,SWZ,Eswatini,-5544.718505083484
151,155,169520.0,SWE,Sweden,153190.52291502545
152,156,73336.0,CHE,Switzerland,59125.745725090695
153,157,21113.0,SYR,Syrian Arab Republic,
154,158,1969.0,TJK,Tajikistan,-8637.289571783835
155,159,108261.0,THA,Thailand,103499.00281473593
156,160,701.0,MKD,"Macedonia, FYR",-3714.4502258058346
157,161,0.0,TLS,Timor-Leste,-6510.9455886758815
158,162,21953.0,TGO,Togo,10172.224573405878
159,163,113.0,TTO,Trinidad and Tobago,-10497.980043846956
160,164,665.0,TUN,Tunisia,-3856.263502883852
161,165,2541352.0,TUR,Turkey,2535609.545990549
162,166,26.0,TKM,Turkmenistan,-4653.1234945255965
163,167,4.0,TCA,Turks and Caicos Islands,
164,168,477187.0,UGA,Uganda,465624.771537162
165,169,3273.0,UKR,Ukraine,-3187.6771224783906
166,170,663.0,ARE,United Arab Emirates,-11842.4461295208
167,171,123067.0,GBR,United Kingdom,107784.36587689408
168,172,211845.0,TZA,Tanzania,201094.50227924372
169,173,273202.0,USA,United States,257500.70798013106
170,174,301.0,URY,Uruguay,-4957.072147365933
171,175,107.0,UZB,Uzbekistan,-7757.022245618934
172,176,0.0,VUT,Vanuatu,-10447.265269297835
173,177,173754.0,VEN,"Venezuela, RB",
174,178,0.0,VNM,Vietnam,-7985.496815258296
175,179,267173.0,YEM,"Yemen, Rep.",256966.3096161416
176,180,26447.0,ZMB,Zambia,16768.166175730752
177,181,6950.0,ZWE,Zimbabwe,-4086.568811923038
